x,y,z
2.0,7.9893,2.07
2.0,7.9771,2.32
1.98,7.9984,2.73
1.86,7.9767,3.28
1.68,7.9979,4.0
1.56,7.9876,4.89
1.56,7.9762,5.99
1.72,8.0007,7.17
2.03,7.9708,8.57
2.38,7.9692,10.17
2.63,7.9807,11.94
2.64,7.9866,13.93
2.43,8.0002,16.07
2.11,7.9792,18.24
1.77,7.9872,20.74
1.62,8.0164,23.23
1.7,8.0844,25.7
1.99,8.1712,28.3
2.33,8.2511,30.86
2.6,8.3405,33.39
2.7,8.455,36.05
2.59,8.5042,38.49
2.31,8.5376,41.03
2.06,8.5725,43.55
1.93,8.6225,46.15
1.99,8.667,48.67
2.19,8.7038,51.29
2.43,8.716,53.93
2.65,8.716,56.34
2.81,8.7137,59.0
2.81,8.6441,61.54
2.66,8.5612,63.98
2.42,8.4583,66.55
2.21,8.4174,69.11
2.13,8.3744,71.74
2.2,8.3545,74.28
2.37,8.359,76.85
2.55,8.3588,79.47
2.72,8.3515,82.09
2.8,8.3259,84.67
2.76,8.3285,87.16
2.68,8.2999,89.63
2.59,8.3042,92.12
2.51,8.2894,94.6
2.42,8.2978,97.09
2.34,8.3118,99.58
2.26,8.3021,102.05
2.17,8.302,104.68
2.08,8.3253,107.29
1.99,8.3413,109.91
1.9,8.3615,112.51
1.81,8.3459,115.11
1.72,8.3539,117.71
1.64,8.3786,120.29
1.55,8.3593,122.85
1.46,8.3346,125.4
1.38,8.3406,127.99
1.29,8.3529,130.59
1.2,8.344,133.16
1.11,8.3415,135.71
1.03,8.3624,138.26
0.94,8.3613,140.8
0.86,8.3516,143.34
0.77,8.3435,145.88
0.68,8.343,148.42
0.6,8.3406,150.96
0.51,8.3559,153.46
0.43,8.3548,155.99
0.34,8.3721,158.5
0.26,8.3675,161.04
0.17,8.3738,163.54
0.09,8.3834,166.04
0.01,8.3606,168.53
0.0,8.3754,171.05
-0.0,8.3933,173.53
-0.0,8.39,176.04
-0.0,8.3368,178.54
-0.0,8.3061,181.04
-0.0,8.2776,183.52
-0.0,8.3223,186.0
0.0,8.3982,188.46
0.0,8.5617,191.09
-0.0,8.7864,193.51
0.0,8.9804,195.96
0.0,9.1718,198.57
-0.0,9.3168,201.01
0.0,9.4466,203.46
-0.0,9.4964,205.91
0.0,9.5475,208.35
-0.0,9.5334,210.82
-0.0,9.4815,213.3
0.0,9.3625,215.8
0.01,9.1977,218.3
0.01,9.0033,220.8
0.01,8.838,223.28
0.0,8.6836,225.81
0.0,8.5289,228.3
0.0,8.4707,230.78
-0.0,8.4241,233.23
-0.0,8.4056,235.69
0.0,8.4228,238.15
-0.0,8.4089,240.61
-0.0,8.3989,243.07
-0.0,8.3965,245.51
-0.0,8.3955,247.95
-0.0,8.3989,250.55
0.0,8.4058,253.16
-0.0,8.41,255.77
-0.0,8.3831,258.37
-0.0,8.3847,260.97
-0.0,8.3873,263.57
0.0,8.3988,266.16
-0.0,8.386,268.73
-0.0,8.3706,271.29
-0.0,8.3978,273.85
-0.0,8.4009,276.37
-0.0,8.3748,278.88
-0.0,8.3716,281.37
-0.0,8.3927,283.86
-0.0,8.3683,286.32
0.0,8.3801,288.92
0.0,8.3532,291.53
-0.0,8.3674,294.11
-0.0,8.3859,296.68
-0.0,8.364,297.21
-0.0,8.3531,297.21
-0.0,8.368,297.21
0.0,8.3834,297.21
0.0,8.3509,297.21
0.0,8.3521,297.21
0.0,8.3541,297.21
0.0,8.3683,297.21
0.0,8.3683,297.21
0.11,8.3618,297.2
0.37,8.3658,297.18
0.79,8.3624,297.18
1.39,8.3836,297.22
2.17,8.3722,297.27
3.11,8.3843,297.32
4.24,8.3564,297.34
4.99,8.3531,297.33
4.99,8.3732,297.33
4.99,8.3522,297.33
4.99,8.3719,297.33
4.99,8.3642,297.33
4.99,8.3584,297.33
4.99,8.3649,297.33
4.99,8.3817,297.33
4.99,8.374,297.33
4.99,8.3681,297.31
4.97,8.3712,297.14
4.95,8.3837,296.82
4.96,8.3768,296.32
5.0,8.3761,295.64
5.08,8.3589,294.77
5.16,8.3867,293.72
5.24,8.3804,292.48
5.25,8.3593,291.1
5.21,8.3627,289.58
5.16,8.3805,287.93
5.1,8.3888,286.11
5.04,8.391,284.09
4.97,8.396,281.95
4.9,8.3724,279.64
4.83,8.376,277.17
4.75,8.3729,274.64
4.67,8.3764,272.11
4.59,8.3761,269.58
4.51,8.4102,267.02
4.43,8.4088,264.51
4.36,8.4066,261.95
4.28,8.3889,259.39
4.2,8.4144,256.82
4.12,8.3928,254.25
4.04,8.4084,251.66
3.96,8.3958,249.09
3.88,8.4127,246.51
3.8,8.3979,243.94
3.72,8.4131,241.32
3.64,8.4439,238.73
3.56,8.4802,236.14
3.47,8.5094,233.56
3.39,8.6352,230.98
3.3,8.7795,228.41
3.2,9.0238,225.86
3.1,9.2354,223.31
3.0,9.4767,220.79
2.91,9.6745,218.27
2.83,9.8346,215.73
2.77,9.9911,213.18
2.72,10.0331,210.6
2.7,10.0235,207.96
2.7,9.9829,205.31
2.72,9.8593,202.88
2.75,9.695,200.41
2.8,9.4674,197.92
2.86,9.233,195.42
2.92,9.0182,192.92
2.97,8.7488,190.43
3.02,8.581,187.9
3.06,8.4134,185.38
3.1,8.3084,182.88
3.13,8.2867,180.45
3.17,8.3025,178.0
3.2,8.3673,175.56
3.24,8.3852,173.12
3.27,8.3858,170.67
3.31,8.3661,168.01
3.35,8.3574,165.56
3.38,8.3725,162.89
3.42,8.3694,160.45
3.46,8.3567,157.8
3.49,8.3495,155.16
3.53,8.372,152.51
3.57,8.3594,149.87
3.61,8.3457,147.2
3.64,8.3815,144.55
3.68,8.382,141.89
3.72,8.3789,139.25
3.76,8.3696,136.62
3.79,8.4043,133.95
3.83,8.4149,131.32
3.87,8.4268,128.68
3.9,8.4469,126.04
3.94,8.4701,123.42
3.98,8.483,120.78
4.02,8.4938,118.18
4.06,8.4744,115.53
4.1,8.4519,112.93
4.14,8.4351,110.33
4.18,8.3775,107.73
4.22,8.3497,105.11
4.26,8.3377,102.49
4.29,8.3564,99.91
4.33,8.3656,97.3
4.37,8.3575,94.71
4.41,8.3771,92.12
4.45,8.4194,89.54
4.48,8.4377,86.98
4.52,8.462,84.43
4.55,8.5238,81.86
4.59,8.5625,79.3
4.62,8.6102,76.76
4.65,8.6559,74.23
4.69,8.7114,71.71
4.72,8.767,69.17
4.75,8.8585,66.67
4.77,8.9515,64.17
4.8,9.0114,61.67
4.82,9.1087,59.19
4.85,9.1882,56.7
4.88,9.217,54.21
